smiles,dga,cluster
[H]C1=C([H])C(C([H])([H])[H])=C(C([H])([H])C([H])([H])[H])O1,-72.5022964477539,0
[H]N1C(=O)[C@]2(OC([H])([H])[H])C([H])([H])[C@]12C([H])([H])[H],-70.1698989868164,2
[H]C#CC1=C(O[H])N=C(O[H])O1,-53.98810195922852,0
[H]ONC1C(C#N)=C([H])N([H])C1([H])[H],-58.42173385620117,0
[H]C1=C(N([H])[H])C(N([H])[H])=NN([H])C1=O,-60.40392303466797,0
[H]C1([H])[C@]2([H])[C@]3([H])C([H])([H])[C@]3([H])[C@]3([H])O[C@]3([H])[C@]12[H],-76.36041259765625,1
[H]C([H])([H])C#CC(C([H])([H])[H])(C([H])([H])[H])[C@]1([H])OC1([H])[H],-81.2575912475586,3
[H]O[C@]1(C([H])([H])[H])C([H])([H])O[C@@]1([H])C1([H])C([H])([H])C1([H])[H],-79.16160583496094,1
[H]O[C@]12C([H])([H])[C@](C#CC([H])([H])[H])(C1([H])[H])C2([H])[H],-75.69384002685547,3
[H]C(=O)[C@@]1([H])OC([H])([H])C([H])([H])N([H])C1=O,-64.46717834472656,2
[H]C([H])([H])[C@@]1([H])O[C@@]1([H])[C@]1([H])C([H])([H])[C@]([H])(C([H])([H])[H])C1([H])[H],-86.61743927001953,1
[H]N(C([H])([H])C#N)[C@]1([H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])[H],-80.01900482177734,2
[H]C(=O)C1=C(N([H])[H])C(=O)C([H])([H])C1([H])[H],-67.46995544433594,0
[H]C1=N[N+](C([H])([H])[H])=C(NC([H])([H])[H])C([H])=C1[H],-70.97808074951172,0
[H]C1([H])C([H])([H])C1([H])[N@@H+]1[C@@]2([H])[C@]1([H])[C@@]1([H])C([H])([H])[C@@]21[H],-76.55020904541016,2
[H]OC1([C@@]([H])(OC([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],-84.4157943725586,1
[H]C1=C([H])N2C(=C1N([H])[H])C([H])([H])C([H])([H])C2([H])[H],-76.4432144165039,0
[H]OC([H])([H])C1=C([H])C([H])([H])O[C@@]([H])(C([H])([H])[H])C1([H])[H],-80.24059295654297,3
[H]OC([H])([H])C([H])(C([H])([H])C#N)C([H])([H])O[H],-64.6370620727539,3
[H]C1=C([H])[C@]2([H])[N@H+]3[C@@]([H])([C@]2([H])C([H])([H])C([H])([H])[H])[C@@]13[H],-78.82039642333984,2
[H]C1=NN([H])C([C@]([H])(C#N)C([H])([H])[H])=C1[H],-66.9639663696289,0
[H]C([H])([H])OC([H])([H])C([H])([H])[N@@H+]1C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[H],-86.34902954101562,2
[H]OC1=C([H])C(=O)N([H])C(C([H])([H])[H])=N1,-63.821022033691406,0
[H]C#CC([H])([H])[C@@]([H])(C#C[H])OC([H])([H])C([H])([H])[H],-75.39116668701172,3
[H]C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[C@]1(C([H])([H])[H])C1([H])C([H])([H])C1([H])[H],-93.82804870605467,3
[H]C1=C(C([H])([H])[H])OC(N2C([H])([H])C2([H])[H])=N1,-68.53868865966797,0
[H]N1[C@]2([H])[C@@]1(C#N)[C@]1([H])O[C@@]12C([H])([H])[H],-61.05457305908203,2
[H]C(=O)[C@@]1([H])OC12C([H])([H])C([H])=C([H])C2([H])[H],-70.30807495117188,1
[H]N(C([H])([H])[H])C([H])(C(=O)C([H])([H])[H])C(=O)C([H])([H])[H],-76.37104797363281,3
[H]C1([H])C(=O)C([H])([H])[C@]2(O[C@]2([H])C([H])([H])[H])C1([H])[H],-75.80717468261719,1
[H]C1=C([H])[C@]2([H])O[C@@]([H])(C([H])=C([H])C2([H])[H])C1([H])[H],-77.89627075195312,3
[H]ON[C@H]1C([H])([H])[C@@](C#N)(C([H])([H])[H])C1([H])[H],-67.35736083984375,3
[H]N1C(=O)OC([H])([H])[C@]2(OC2([H])[H])C1([H])[H],-64.06023406982422,3
[H][C+]1[NH2+][C@]2([H])C([H])([H])[C@]2(C([H])([H])OC([H])([H])[H])O1,-70.04793548583984,2
[H]OC([H])([H])C([H])([H])[C@@]12C([H])([H])C([H])([H])[C@]1(C([H])([H])[H])C2([H])[H],-86.4969253540039,1
[H]O[C@]1([H])[C@]2([H])N([H])[C@]2([H])[C@]2([H])C([H])([H])[C@]12[H],-65.5359115600586,2
[H]C1=C([H])[C@@]2(C([H])([H])[H])C([H])([H])[C@@]3([H])[N@@H+](C1([H])[H])[C@@]23[H],-78.9613265991211,2
[H][N-]C1O[C@@]2([H])C(C([H])([H])[H])(C([H])([H])[H])N([H])[C@@]12[H],-72.3628921508789,2
[H]O[C@]12C([H])([H])[C@@]1(C([H])([H])C([H])([H])[H])[C@]1([H])O[C@@]12[H],-73.47341918945312,1
[H][N-]C1OC([H])([H])C([H])([H])C(=O)[C@@]1([H])O[H],-64.27030181884766,3
[H][N-][C+]([H])O[C@@]1([H])C(=O)[C@@]([H])(C([H])([H])[H])C1([H])[H],-70.7206802368164,3
[H]O[C@@]1([H])C([H])([H])[C@]12N([H])C(=O)C2([H])[H],-59.4215087890625,2
[H]C([H])([H])N1C(=O)[C@]2([H])C([H])([H])C([H])([H])[C@@]1([H])C2([H])[H],-79.16775512695312,2
[H]/C(=N\C([H])([H])[H])N([H])C(=O)C#CC([H])([H])[H],-68.70777893066406,0
[H]O/N=C(\C([H])([H])[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])[H],-72.17706298828125,3
[H]C1=NC([H])=C(C([H])([H])C([H])([H])OC([H])([H])[H])N1[H],-73.89734649658203,0
[H]C1([H])C([H])([H])C1([H])[C@]1([H])C([H])([H])[C@]1([H])C#N,-68.64652252197266,3
[H]OC([H])([H])[C@]1([H])N=C(C([H])([H])[H])OC([H])([H])C1([H])[H],-76.16954803466797,3
[H]OC1=C(C#N)C([H])=C([H])N1C([H])([H])[H],-64.95568084716797,0
[H]N([H])C(=O)[C@]1([H])[C@]2([H])C([H])([H])[C@]2([H])[C@]1([H])C([H])([H])[H],-77.8973388671875,3
[H]OC([H])([H])C([H])(C([H])([H])O[H])[C@@]1(C([H])([H])[H])N([H])C1([H])[H],-79.37760162353516,2
[H]N([H])C(=O)N1C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[H],-78.95223999023438,2
[H]C#CC(=O)C1=NC([H])([H])C([H])([H])O1,-60.37409973144531,3
[H]O[C@@]12C([H])([H])C([H])([H])C([H])([H])[C@]1(OC([H])([H])[H])C2([H])[H],-79.7110824584961,1
[H]C#C[C@]1(C([H])([H])OC([H])([H])[H])O[C@@]1([H])C([H])([H])[H],-73.3355941772461,3
[H]C1([H])C(=O)[C@@]2([H])O[C@]1([H])OC2([H])[H],-57.492820739746094,3
[H]C1([H])OC1(C#N)C#N,-40.81961441040039,3
[H]OC(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(OC([H])([H])[H])C([H])=O,-77.84231567382812,3
[H]C([H])([H])O[C@]1([H])[C@@]2([H])O[C@]1([H])C([H])([H])OC2([H])[H],-71.83058166503906,1
[H]O[C@@]([H])(C(=O)C1([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H],-80.38896942138672,1
[H]C1=C([H])[C@]2(C([H])([H])C([H])([H])[H])C([H])([H])[C@@]1(C([H])([H])[H])C2([H])[H],-88.85334777832031,3
[H]C([H])([H])C([H])([H])[C@]1([H])C(=O)[C@]2(C([H])([H])[H])O[C@]12[H],-74.8812255859375,1
[H]OC(C([H])([H])[H])(C([H])([H])[H])C1(O[H])C([H])([H])C1([H])[H],-73.58049011230469,1
[H]N1C(=O)[C@@]2(OC([H])([H])OC2([H])[H])C1([H])[H],-63.82534408569336,2
[H]C(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])[H],-55.23122787475586,0
[H]N1C([H])([H])C(=O)[C@]2([H])C([H])([H])[C@@]1(C([H])([H])[H])C2([H])[H],-77.92414093017578,2
[H]N([H])[C@@]([H])(C#N)[C@@]1([H])C([H])([H])[C@@]2([H])O[C@@]12[H],-67.11133575439453,1
[H]C#C[C@]1([H])C([H])([H])[C@]2([H])OC([H])([H])[C@@]21O[H],-68.24237823486328,1
[H]C(=O)N([H])C1=NOC(=O)O1,-47.9141960144043,0
[H]C(=O)[C@]1([H])[C@]2([H])C([H])([H])[C@@]1([H])[C@@]21OC1([H])[H],-68.1735610961914,1
[H]C(=O)C1=C([H])N(C([H])([H])C([H])([H])[H])N=C1[H],-69.38795471191406,0
[H]C#C[C@@]12C([H])([H])N([H])[C@]1(C#N)C2([H])[H],-63.7088508605957,2
[H]C([H])([H])C([H])([H])[C@]1([H])[N@@H+]2C([H])([H])[C@@]([H])(C#N)[C@@]21[H],-74.43577575683594,2
[H]C#C[C@@]1([H])C(=O)OC([N-][H])C1([H])[H],-61.3950424194336,3
[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])O[C@]([H])(C([H])([H])[H])[C@]2([H])C1([H])[H],-87.83403778076172,1
[H]C1([H])[NH+](C([H])([H])[C@]2([H])[C@]3([H])C([H])([H])C([H])([H])[C@]23[H])C1([H])[H],-82.8744888305664,2
[H]O[C@]([H])(C([H])([H])C([H])([H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-86.3385238647461,3
[H]OC1=NC2=C(N1[H])C([H])([H])C([H])([H])C2([H])[H],-69.65555572509766,0
[H]/N=C(\C1=NN([H])N=C1[H])N([H])C([H])([H])[H],-61.96931076049805,0
[H]C([H])([H])C1(C([H])([H])[H])[C@@]2([H])C([H])([H])[C@]([H])(C([H])([H])[H])O[C@@]12[H],-87.2096176147461,1
[H]O[C@@]1([H])[C@@]([H])(OC([H])([H])C([H])=O)[C@@]1([H])C([H])([H])[H],-72.20955657958984,1
[H]C1=NOC([C@@]2(C([H])([H])[H])N([H])C2([H])[H])=C1[H],-67.49085235595703,0
[H]OC([H])([H])C([H])([H])C([H])([H])C1=C([H])N=C([H])O1,-71.39923095703125,0
[H]C(=O)C1(C#CC([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H],-76.94872283935547,3
[H]O[C@@]1([H])[C@@H]2NC(N([H])[H])=C([H])N2C1([H])[H],-63.437286376953125,0
[H]O[C@@]1([H])C([H])([H])[C@@]2([C@]3([H])OC3([H])[H])O[C@]21[H],-66.15074920654297,1
[H]OC([H])([H])[C@@]1([H])C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])C#N,-77.6556167602539,1
[H]C1=C(N2C([H])([H])C2([H])[H])N([H])C([H])=C1C([H])([H])[H],-75.52776336669922,0
[H][N-][C@H](C#N)OC(=O)C#N,-47.47747802734375,0
[H]C#CC1=C(C([H])([H])[H])C([H])([H])C(=O)N1[H],-68.71526336669922,0
[H]C1=C([H])[C@]2([H])[N@H+]3[C@]4([H])[C@@]([H])([C@@]42[H])[C@@]3([H])C1([H])[H],-73.24932861328125,2
[H]O[C@@]12C([H])=C(C#N)C([H])([H])[C@]1([H])C2([H])[H],-68.26464080810547,3
[H]O[C@]1([H])[C@]2([H])N([H])[C@]2([H])[C@]2([H])C([H])([H])[C@]12C([H])([H])[H],-76.75216674804688,2
[H]N1C(OC([H])([H])[H])=NC([H])([H])C(=O)C1([H])[H],-66.88725280761719,0
[H]C1([H])O[C@]2([H])[C@@]3([H])C([H])([H])OC([H])([H])[C@@]23C1([H])[H],-74.8076171875,1
[H]O[C@]1([H])[C@]2([H])[C@@]3([H])C([H])([H])C([H])([H])[C@]2([H])[C@@]13[H],-70.186279296875,1
[H][N-]C1O[C@@]2([H])[C@]3([H])C([H])=C([H])[C@@]2([H])[C@]13[H],-67.35079956054688,1
[H]C([H])([H])C1(C([H])([H])[H])OC(=O)[C@@]2([H])C([H])([H])[C@@]12[H],-76.47627258300781,1
[H]C1=C([H])C(C(=O)N([H])[H])=C(N([H])[H])O1,-63.15483093261719,0
[H][N-][C@@H]1OC(=O)N([H])C([H])([H])[C@]1([H])O[H],-60.35420989990234,3
[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])[C@@]2([H])C([H])([H])O[C@]1([H])C2([H])[H],-87.68040466308594,1
[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])OC([H])([H])[H],-77.91850280761719,3
[H]C(=O)[C@]1([H])[N@H+](C([H])([H])[H])[C@@]2([H])[C@@]([H])(C([H])([H])[H])[C@]21[H],-76.32666778564453,2
[H]C(=O)C([H])([H])C1[NH2+][C@@]([H])(C([H])([H])[H])C([H])([H])O1,-71.58445739746094,2
[H]O[C@]1([H])C([H])([H])N([H])[C@]1([H])C(=O)N([H])C([H])([H])[H],-71.12583923339844,2
[H]C([H])([H])[C@@]12O[C@@]3([H])O[C@]1([H])[C@]2([H])C3=O,-63.07295227050781,1
[H]O[C@]12C([H])([H])[N@H+](C1([H])[H])[C@]2([H])C(=O)N([H])[H],-64.62879180908203,2
[H]C#C[C@]([H])(O[H])[C@@]12OC([H])([H])[C@]1([H])C2([H])[H],-67.84335327148438,1
[H]C#C[C@@]12O[C@]1(C#C[H])C([H])([H])C2([H])[H],-64.7735824584961,1
[H][N-]C1N([H])[C@@H]([N-][H])OC([H])([H])OC1([H])[H],-61.750885009765625,0
[H]O[C@@]1([H])C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])=O,-79.8704605102539,1
[H]O[C@]12[C@]3(C#N)C([H])([H])[C@@]1([H])[C@@]2([H])C3([H])[H],-66.81046295166016,1
[H]O[C@]12C([H])([H])C([H])([H])[C@@]1([H])O[C@@]2([H])C([H])=O,-67.1366195678711,1
[H]OC([H])([H])C#CC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-86.57259368896484,3
[H]C(=O)C([H])([H])C1=C([H])C([H])([H])OC1=O,-64.84803771972656,3
[H]OC([H])([H])C#CC1=C([H])N=C([H])O1,-60.697044372558594,0
[H]C(=O)C(=O)N1C([H])=NC([H])([H])C1([H])[H],-62.361778259277344,0
[H]O[C@]1([H])[C@@]2([H])[N@@H+](C([H])([H])[H])[C@@]2([H])[C@]1([H])C([H])([H])[H],-70.00553894042969,2
[H][N-]C1N([H])C(=O)[C@]2([H])[N@H+]1C2([H])[H],-53.229774475097656,0
[H]C1=C([H])C([H])=C(N([H])C([H])([H])C([H])([H])C([H])([H])[H])O1,-78.42145538330078,0
[H]O[C@]12[C@]([H])([N@H+]3C([H])([H])[C@]31[H])[C@]2([H])C([H])([H])C([H])([H])[H],-74.82628631591797,2
[H]C([H])([H])O[C@@]12C(=O)C([H])([H])C([H])([H])[C@]1([H])C2([H])[H],-75.40292358398438,1
[H]N1[C@]2([H])[C@]3([H])N([H])[C@]3(C([H])([H])[H])[C@]12C#N,-63.333255767822266,2
[H]C1=C([H])[C@]2([H])C([H])([H])[C@]13OC([H])([H])[C@@]32C([H])([H])[H],-73.58830261230469,1
[H]C1=C(C(=O)C([H])([H])[H])[C@]2([H])O[C@]2([H])C1([H])[H],-70.58655548095703,3
[H][N-]C1N(C([H])=O)C([H])([H])[C@]([H])(O[H])C1([H])[H],-67.16075134277344,2
[H]C(=O)[C@]12O[C@@]1([H])[C@@]1([H])OC([H])([H])[C@]12[H],-61.10934829711914,1
[H]C#CC([H])([H])OC([N-][H])[C@]([H])(O[H])C([H])([H])[H],-69.71329498291016,3
[H]C([H])([H])[C@]1([H])C(=O)O[C@@]([H])(C#N)C1([H])[H],-67.42704772949219,1
[H]ONC1C([H])([H])OC([H])=N[C@]1([H])C([H])([H])[H],-65.19136047363281,3
[H]OC([H])([H])[C@@]12C([H])=C([H])C([H])([H])[C@]1([H])[N@@H+]2C([H])([H])[H],-76.94221496582031,2
[H][N-]C1OC([H])([H])[C@]([H])(OC([H])([H])[H])C1([H])[H],-64.71992492675781,3
[H][N-][C+]([H])OC([H])([H])C([H])([H])C([H])([H])C(=O)C([H])([H])[H],-76.16558074951172,3
[H][N-]C(OC([H])([H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-77.118408203125,3
[H]O[C@]1(C#N)[C@@]2([H])C(=O)[C@]1([H])C2([H])[H],-59.86943817138672,3
[H]C1=C([C@@]2(C([H])([H])[H])OC2([H])[H])ON=N1,-60.060543060302734,0
[H]C(=O)[C@@]12N([H])[C@@]3([H])[C@]1([H])C([H])([H])[C@]32C([H])([H])[H],-70.55902099609375,2
[H]C1=NC2=C(N=C([H])N([H])C2([H])[H])O1,-59.99166870117188,0
[H]N1C(=O)[C@]2([H])C([H])([H])[C@]3([H])C([H])([H])[C@]3([H])[C@]12[H],-73.34982299804688,2
[H]O[C@@]12C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C2([H])[H],-76.22228240966797,1
[H]C(=O)C1=NN(C([H])([H])[H])C(N([H])[H])=N1,-60.17463684082031,0
[H]O[C@]1([H])[C@]2([H])O[C@]2([H])[C@@]12N([H])[C@]2([H])C([H])([H])[H],-68.5863037109375,2
[H]O[C@]1([H])[C@]([H])(C#N)O[C@]1([H])C([H])([H])[H],-59.31761932373047,3
[H]C#CC([H])([H])[C@]1([H])C([H])([H])C([H])([H])[C@]1([H])O[H],-69.98432159423828,1
[H]C1([H])O[C@@]([H])(C#N)C([H])([H])C([H])([H])C1([H])[H],-67.29759979248047,3
[H]C#C[C@]1(O[H])C([H])([H])N([H])[C@@]1([H])C#C[H],-64.99488830566406,2
[H]C1=C([H])[C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])=C([H])C1([H])[H],-89.74700164794922,0
[H]C1=C2C([H])([H])C([H])([H])[C@@]2([H])[C@@]2([H])C([H])([H])[C@@]12[H],-72.56232452392578,3
[H]OC([H])([H])[C@]1([H])C2=C([H])C([H])=NN2C1([H])[H],-67.5712661743164,0
[H]C1([H])C(=O)[C@@]2([H])[N@@H+]1[C@@]([H])(C([H])([H])[H])C2([H])[H],-65.88880920410156,2
[H]C(=O)[C@@]1([H])N(C([H])([H])[H])C(=O)C([H])([H])C1([H])[H],-72.19056701660156,2
