smiles,solubility,cluster
C=CC=C,-1.87,6
Cc1ccccc1C,-2.8,1
CCC(=C)C,-2.73,3
OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl ,-5.46,11
Fc1c[nH]c(=O)[nH]c1=O ,-1.077,6
Cc1c(cccc1N(=O)=O)N(=O)=O,-3.0,5
CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.27,11
O=C1NC(=O)NC(=O)C1(CC)CC,-2.4,7
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl ,-5.67,11
CC1(C)C2CCC1(C)C(O)C2,-2.32,0
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.88,0
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72,2
c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,-4.53,11
CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O ,-3.38,11
CNC(=O)C=C(C)OP(=O)(OC)OC,0.6509999999999999,6
O=C1CNC(=O)N1 ,-0.4,6
CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O ,-4.9,0
CC(=O)C3(C)CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C,-5.27,0
CCCC(=O)CCC,-1.3,3
ClCCCCl,-1.62,3
CCC1CCCCC1,-4.25,3
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.43,0
CC(C)C(C)O,-0.18,9
Clc1ccc(cc1)c2ccccc2Cl ,-5.28,4
Clc1ccccc1I,-3.54,2
C1SC(=S)NC1(=O),-1.77,6
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F ,-1.8,11
CCC(C)C(C)C,-4.28,3
Cc1ccccc1Br,-2.23,1
CCI,-1.6,6
O=C(Nc1ccccc1)Nc2ccccc2,-3.15,5
CBr,-0.79,6
Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,-2.523,11
Clc1cc(Cl)cc(Cl)c1,-4.48,2
COC(=O)c1ccccc1,-1.85,1
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,11
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) ,-3.48,0
O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13,-2.676,11
CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,-5.382000000000001,11
O=N(=O)c1ccc(cc1)N(=O)=O,-3.39,5
Cc1c(C)c(C)c(C)c(C)c1C,-5.23,1
CC(=O)Nc1nnc(s1)S(N)(=O)=O ,-2.36,11
CN(C)C(=O)N(C)C ,0.94,6
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,-1.84,11
CNC(=O)Oc1ccccc1OC(C)C,-2.05,2
c2ccc1ocnc1c2,-1.16,6
COc1cc(CC=C)ccc1O,-1.56,1
CCc1ccc2ccccc2c1,-4.29,10
CCCCCCC,-4.53,3
Cc1ccccc1,-2.21,1
O=C1NC(=O)C(=O)N1 ,-0.4,6
CCC(C)(C)C,-3.55,3
CCC(=O)OC,-0.14,8
Cc1ccc(O)cc1,-0.73,1
CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O,-3.35,11
c1c(OC)c(OC)C2C(=O)OCC2c1,-1.899,11
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C ,-4.21,0
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,-4.19,11
CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35,11
Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82,5
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,11
CCCOC(=O)CCC,-1.75,8
Brc1cc(Br)cc(Br)c1,-5.6,2
CC(C)C(C)(C)C,-4.36,3
COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3,-3.88,11
ClC(Cl)(Cl)Cl,-2.31,6
CC(=O)c1ccccc1,-1.28,1
CC(C)SC(C)C,-2.24,6
CCCCCCC(C)O,-2.09,9
CC(C)O,0.43,9
NC(=S)N,0.32,6
CCCCCC(=O)C,-1.45,3
Nc1ccc(cc1)N(=O)=O,-2.37,5
O=c1[nH]cnc2nc[nH]c12 ,-2.296,6
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25,4
CCCCCCC=C,-4.44,3
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09,11
CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06,6
Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,-3.685,11
O=C(c1ccccc1)c2ccccc2,-3.12,1
CCO,1.1,8
CCCCCCO,-1.24,9
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,6
CCCC=O,-0.01,3
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O,-4.02,0
CCC1(C(=O)NCNC1=O)c2ccccc2,-2.64,11
O=C2NC(=O)C1(CCCCC1)C(=O)N2,-3.06,7
CC(=O)Nc1ccccc1,-1.33,5
CNC(=O)ON=C(SC)C(=O)N(C)C,0.106,6
ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2 ,-7.2,1
C1CCC=CCC1,-3.18,3
CCCC(C)(C)CO,-1.52,9
ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl ,-5.64,11
BrCCBr,-1.68,6
Brc1cccc2ccccc12,-4.35,10
CCCCOC=O,-1.37,8
C1C=CCC=C1,-2.06,3
CN(C)C(=S)SSC(=S)N(C)C ,-3.9,6
NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl ,-2.68,11
CCCC(=C)C,-3.03,3
CC1=C(CCCO1)C(=O)Nc2ccccc2 ,-2.56,11
CCCCC(O)CC,-1.47,9
O=C1NC(=O)C(=O)C(=O)N1 ,-1.25,6
C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),-1.99,11
N(c1ccccc1)c2ccccc2,-3.504,5
Cc1ccc(cc1)N(=O)=O,-2.49,5
FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O,-4.047,11
CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,-4.65,0
FC(F)(Cl)C(F)(Cl)Cl,-3.04,6
c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC),-2.943,11
O=Cc1ccco1,-0.1,6
Nc1cc(nc(N)n1=O)N2CCCCC2 ,-1.989,11
NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,-3.59,11
Oc1cccc2ncccc12 ,-2.54,2
CC(C)(C)CCO,-0.5,9
OC(C(=O)c1ccccc1)c2ccccc2,-2.85,1
NC(=O)c1cnccn1,-0.667,6
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09,11
Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl ,-7.39,4
ClCCC#N ,-0.29,3
CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,-4.402,0
CCCCCCCCC(=O)OC,-3.38,8
NC(=O)NC1NC(=O)NC1=O ,-1.6,6
c1(OC)ccc(CC=C)cc1,-2.92,1
Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl ,-7.92,4
CCCC(C)(C)C,-4.36,3
O=N(=O)c1ccccc1,-1.8,5
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,-5.35,0
CCCC,-2.57,3
OC1C(O)C(O)C(O)C(O)C1O,0.35,8
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.282,11
CCOC(=O)c1ccccc1,-2.32,1
OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-0.41,11
OCC(O)C(O)C(O)C(O)CO,1.09,8
CC(Cl)CCl,-1.6,3
O2c1ccc(N)cc1N(C)C(=O)c3cc(C)ccc23 ,-3.928,11
Oc1cc(Cl)c(Cl)cc1Cl,-2.21,2
CC(C)CCCO,-1.14,9
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.8,5
CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O,-3.69,0
CCOCCOCC,-0.77,8
CSC,-0.45,6
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09,2
CCCCCCCCCCCCCCCCCCO,-8.4,9
Nc1ccc(O)cc1,-0.8,5
CCOC(=O)c1ccccc1C(=O)OCC,-2.35,1
CCS,-0.6,6
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.018,10
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22,6
CCCCC,-3.18,3
Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl ,-6.47,4
CC(=C)C(=C)C,-2.4,3
Cc1ccc(C)c(C)c1,-3.31,1
CCCCOC(=O)c1ccccc1C(=O)OCCCC ,-4.4,1
O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.614,7
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,-3.78,11
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.68,11
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001,11
CCSC(=O)N(CC(C)C)CC(C)C,-3.68,6
CC(C)C1CCC(C)CC1O ,-2.53,8
Clc2ccc1oc(=O)[nH]c1c2,-2.8310000000000004,11
Oc1cccc(c1)N(=O)=O,-1.01,5
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.176,11
Cc1ccccc1Cl,-3.52,1
COc1ccccc1O ,-1.96,2
CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,-4.2860000000000005,6
CSc1nc(nc(n1)N(C)C)N(C)C,-2.676,6
CCCCCO,-0.6,9
OCC1OC(O)C(O)C(O)C1O,0.74,6
O=c1[nH]cnc2[nH]ncc12 ,-2.266,6
CCCCC(C)(O)CC,-1.6,9
CNC(=O)Oc1cccc2CC(C)(C)Oc12,-2.8,11
c1ccc2c(c1)[nH]c3ccccc32,-5.27,2
O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,-2.322,11
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9,2
